# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	323493	324695	-	BAL37605.1			exonuclease, dsDNA, ATP-dependent	sbcD		ECMDS42_0297	1203	400	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	324885	325574	+					phoB		ECMDS42_0298	690		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	324885	325574	+	BAL37606.1			DNA-binding response regulator in two-component regulatory system with PhoR	phoB		ECMDS42_0298	690	229	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	325632	326927	+					phoR		ECMDS42_0299	1296		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	325632	326927	+	BAL37607.1			sensory histidine kinase in two-component regulatory system with PhoB	phoR		ECMDS42_0299	1296	431	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	327334	328653	+					brnQ		ECMDS42_0300	1320		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	327334	328653	+	BAL37608.1			predicted branched chain amino acid transporter	brnQ		ECMDS42_0300	1320	439	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	328729	330102	+					proY		ECMDS42_0301	1374		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	328729	330102	+	BAL37609.1			predicted cryptic proline transporter	proY		ECMDS42_0301	1374	457	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	330258	332075	+					malZ		ECMDS42_0302	1818		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	330258	332075	+	BAL37610.1			maltodextrin glucosidase	malZ		ECMDS42_0302	1818	605	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	332080	332661	-					yajB		ECMDS42_0303	582		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	332080	332661	-	BAL37611.1			conserved protein	yajB		ECMDS42_0303	582	193	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	332754	333824	+					queA		ECMDS42_0304	1071		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	332754	333824	+	BAL37612.1			S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA		ECMDS42_0304	1071	356	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	333880	335007	+					tgt		ECMDS42_0305	1128		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	333880	335007	+	BAL37613.1			tRNA-guanine transglycosylase	tgt		ECMDS42_0305	1128	375	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	335030	335362	+					yajC		ECMDS42_0306	333		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	335030	335362	+	BAL37614.1			SecYEG protein translocase auxillary subunit	yajC		ECMDS42_0306	333	110	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	335390	337237	+					secD		ECMDS42_0307	1848		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	335390	337237	+	BAL37615.1			SecYEG protein translocase auxillary subunit	secD		ECMDS42_0307	1848	615	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	337248	338219	+					secF		ECMDS42_0308	972		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	337248	338219	+	BAL37616.1			SecYEG protein translocase auxillary subunit	secF		ECMDS42_0308	972	323	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	338348	338695	+					yajD		ECMDS42_0309	348		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	338348	338695	+	BAL37617.1			conserved protein	yajD		ECMDS42_0309	348	115	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	338872	339756	-					tsx		ECMDS42_0310	885		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	338872	339756	-	BAL37618.1			nucleoside channel, receptor of phage T6 and colicin K	tsx		ECMDS42_0310	885	294	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	340055	340594	-					yajI		ECMDS42_0311	540		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	340055	340594	-	BAL37619.1			predicted lipoprotein	yajI		ECMDS42_0311	540	179	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	340745	341194	+					ybaD		ECMDS42_0312	450		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	340745	341194	+	BAL37620.1			conserved protein	ybaD		ECMDS42_0312	450	149	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	341198	342301	+					ribD		ECMDS42_0313	1104		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	341198	342301	+	BAL37621.1			fused diaminohydroxyphosphoribosylaminopyrimidin e deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase	ribD		ECMDS42_0313	1104	367	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	342390	342860	+					ribE		ECMDS42_0314	471		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	342390	342860	+	BAL37622.1			riboflavin synthase beta chain	ribE		ECMDS42_0314	471	156	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	342880	343299	+					nusB		ECMDS42_0315	420		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	342880	343299	+	BAL37623.1			transcription antitermination protein	nusB		ECMDS42_0315	420	139	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	343377	344354	+					thiL		ECMDS42_0316	978		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	343377	344354	+	BAL37624.1			thiamin-monophosphate kinase	thiL		ECMDS42_0316	978	325	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	344332	344850	+					pgpA		ECMDS42_0317	519		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	344332	344850	+	BAL37625.1			phosphatidylglycerophosphatase A	pgpA		ECMDS42_0317	519	172	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	344904	345878	-					yajO		ECMDS42_0318	975		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	344904	345878	-	BAL37626.1			predicted oxidoreductase, NAD(P)-binding	yajO		ECMDS42_0318	975	324	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	346058	347920	-					dxs		ECMDS42_0319	1863		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	346058	347920	-	BAL37627.1			1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring	dxs		ECMDS42_0319	1863	620	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	347945	348844	-					ispA		ECMDS42_0320	900		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	347945	348844	-	BAL37628.1			geranyltranstransferase	ispA		ECMDS42_0320	900	299	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	348844	349086	-					xseB		ECMDS42_0321	243		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	348844	349086	-	BAL37629.1			exonuclease VII small subunit	xseB		ECMDS42_0321	243	80	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	349292	350740	+					thiI		ECMDS42_0322	1449		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	349292	350740	+	BAL37630.1			sulfurtransferase required for thiamine and 4-thiouridine biosynthesis	thiI		ECMDS42_0322	1449	482	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	350794	351384	-					yajL		ECMDS42_0323	591		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	350794	351384	-	BAL37631.1			conserved protein	yajL		ECMDS42_0323	591	196	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	351347	352258	-					panE		ECMDS42_0324	912		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	351347	352258	-	BAL37632.1			2-dehydropantoate reductase, NADPH-specific	panE		ECMDS42_0324	912	303	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	352426	352917	+					yajQ		ECMDS42_0325	492		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	352426	352917	+	BAL37633.1			predicted nucleotide binding protein	yajQ		ECMDS42_0325	492	163	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	353045	354409	-					yajR		ECMDS42_0326	1365		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	353045	354409	-	BAL37634.1			predicted transporter	yajR		ECMDS42_0326	1365	454	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	354558	355448	-					cyoE		ECMDS42_0327	891		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	354558	355448	-	BAL37635.1			protoheme IX farnesyltransferase	cyoE		ECMDS42_0327	891	296	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	355460	355789	-					cyoD		ECMDS42_0328	330		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	355460	355789	-	BAL37636.1			cytochrome o ubiquinol oxidase subunit IV	cyoD		ECMDS42_0328	330	109	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	355789	356403	-					cyoC		ECMDS42_0329	615		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	355789	356403	-	BAL37637.1			cytochrome o ubiquinol oxidase subunit III	cyoC		ECMDS42_0329	615	204	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	356393	358384	-					cyoB		ECMDS42_0330	1992		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	356393	358384	-	BAL37638.1			cytochrome o ubiquinol oxidase subunit I	cyoB		ECMDS42_0330	1992	663	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	358406	359353	-					cyoA		ECMDS42_0331	948		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	358406	359353	-	BAL37639.1			cytochrome o ubiquinol oxidase subunit II	cyoA		ECMDS42_0331	948	315	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	359813	361288	-					ampG		ECMDS42_0332	1476		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	359813	361288	-	BAL37640.1			muropeptide transporter	ampG		ECMDS42_0332	1476	491	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	361332	361910	-					yajG		ECMDS42_0333	579		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	361332	361910	-	BAL37641.1			predicted lipoprotein	yajG		ECMDS42_0333	579	192	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	362215	362532	+					bolA		ECMDS42_0334	318		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	362215	362532	+	BAL37642.1			regulator of penicillin binding proteins and beta lactamase transcription	bolA		ECMDS42_0334	318	105	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	362876	364174	+					tig		ECMDS42_0335	1299		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	362876	364174	+	BAL37643.1			peptidyl-prolyl cis/trans isomerase	tig		ECMDS42_0335	1299	432	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	364420	365043	+					clpP		ECMDS42_0336	624		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	364420	365043	+	BAL37644.1			proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	clpP		ECMDS42_0336	624	207	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	365169	366443	+					clpX		ECMDS42_0337	1275		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	365169	366443	+	BAL37645.1			ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	clpX		ECMDS42_0337	1275	424	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	366631	368985	+					lon		ECMDS42_0338	2355		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	366631	368985	+	BAL37646.1			DNA-binding ATP-dependent protease La	lon		ECMDS42_0338	2355	784	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	369194	369466	+					hupB		ECMDS42_0339	273		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	369194	369466	+	BAL37647.1			HU, DNA-binding transcriptional regulator, beta subunit	hupB		ECMDS42_0339	273	90	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	369658	371529	+					ppiD		ECMDS42_0340	1872		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	369658	371529	+	BAL37648.1			peptidyl-prolyl cis-trans isomerase	ppiD		ECMDS42_0340	1872	623	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	371680	372051	+					ybaV		ECMDS42_0341	372		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	371680	372051	+	BAL37649.1			conserved protein	ybaV		ECMDS42_0341	372	123	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	372145	372543	+					ybaW		ECMDS42_0342	399		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	372145	372543	+	BAL37650.1			conserved protein	ybaW		ECMDS42_0342	399	132	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	372595	373290	-					ybaX		ECMDS42_0343	696		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	372595	373290	-	BAL37651.1			predicted aluminum resistance protein	ybaX		ECMDS42_0343	696	231	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	373355	375055	-					ybaE		ECMDS42_0344	1701		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	373355	375055	-	BAL37652.1			predicted transporter subunit	ybaE		ECMDS42_0344	1701	566	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	375155	375973	+					cof		ECMDS42_0345	819		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	375155	375973	+	BAL37653.1			thiamin pyrimidine pyrophosphate hydrolase	cof		ECMDS42_0345	819	272	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	376126	376584	+					ybaO		ECMDS42_0346	459		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	376126	376584	+	BAL37654.1			predicted DNA-binding transcriptional regulator	ybaO		ECMDS42_0346	459	152	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	376614	378386	+					mdlA		ECMDS42_0347	1773		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	376614	378386	+	BAL37655.1			fused predicted multidrug transporter subunits	mdlA		ECMDS42_0347	1773	590	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	378379	380160	+					mdlB		ECMDS42_0348	1782		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	378379	380160	+	BAL37656.1			fused predicted multidrug transporter subunits	mdlB		ECMDS42_0348	1782	593	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	380341	380679	+					glnK		ECMDS42_0349	339		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	380341	380679	+	BAL37657.1			nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	glnK		ECMDS42_0349	339	112	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	380709	381995	+					amtB		ECMDS42_0350	1287		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	380709	381995	+	BAL37658.1			ammonium transporter	amtB		ECMDS42_0350	1287	428	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	382044	382904	-					tesB		ECMDS42_0351	861		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	382044	382904	-	BAL37659.1			acyl-CoA thioesterase II	tesB		ECMDS42_0351	861	286	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	383122	383694	+					ybaY		ECMDS42_0352	573		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	383122	383694	+	BAL37660.1			predicted outer membrane lipoprotein	ybaY		ECMDS42_0352	573	190	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	383725	384114	-					ybaZ		ECMDS42_0353	390		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	383725	384114	-	BAL37661.1			predicted methyltransferase	ybaZ		ECMDS42_0353	390	129	
gene	SRP_RNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	384191	384304	+					ffs		ECMDS42_0354	114		
ncRNA	SRP_RNA	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	384191	384304	+					ffs		ECMDS42_0354	114		
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	384415	384768	+					ybaA		ECMDS42_0355	354		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	384415	384768	+	BAL37662.1			conserved protein	ybaA		ECMDS42_0355	354	117	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	384810	386360	-					ylaB		ECMDS42_0356	1551		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	384810	386360	-	BAL37663.1			conserved inner membrane protein	ylaB		ECMDS42_0356	1551	516	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	386524	386994	-					ylaC		ECMDS42_0357	471		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	386524	386994	-	BAL37664.1			predicted inner membrane protein	ylaC		ECMDS42_0357	471	156	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	387110	387661	-					maa		ECMDS42_0358	552		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	387110	387661	-	BAL37665.1			maltose O-acetyltransferase	maa		ECMDS42_0358	552	183	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	387833	388051	-					hha		ECMDS42_0359	219		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	387833	388051	-	BAL37666.1			modulator of gene expression, with H-NS	hha		ECMDS42_0359	219	72	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	388077	388451	-					ybaJ		ECMDS42_0360	375		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	388077	388451	-	BAL37667.1			predicted protein	ybaJ		ECMDS42_0360	375	124	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	388997	392146	-					acrB		ECMDS42_0361	3150		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	388997	392146	-	BAL37668.1			multidrug efflux system protein	acrB		ECMDS42_0361	3150	1049	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	392169	393362	-					acrA		ECMDS42_0362	1194		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	392169	393362	-	BAL37669.1			multidrug efflux system	acrA		ECMDS42_0362	1194	397	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	393504	394151	+					acrR		ECMDS42_0363	648		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	393504	394151	+	BAL37670.1			DNA-binding transcriptional regulator	acrR		ECMDS42_0363	648	215	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	394279	397641	+					kefA		ECMDS42_0364	3363		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	394279	397641	+	BAL37671.1			fused mechanosensitive channel proteins	kefA		ECMDS42_0364	3363	1120	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	397853	398014	-					ybaM		ECMDS42_0365	162		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	397853	398014	-	BAL37672.1			predicted protein	ybaM		ECMDS42_0365	162	53	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	398028	398555	-					priC		ECMDS42_0366	528		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	398028	398555	-	BAL37673.1			primosomal replication protein N''	priC		ECMDS42_0366	528	175	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	398625	399002	+					ybaN		ECMDS42_0367	378		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	398625	399002	+	BAL37674.1			conserved inner membrane protein	ybaN		ECMDS42_0367	378	125	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	399155	399706	+					apt		ECMDS42_0368	552		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	399155	399706	+	BAL37675.1			adenine phosphoribosyltransferase	apt		ECMDS42_0368	552	183	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	399835	401766	+					dnaX		ECMDS42_0369	1932		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	399835	401766	+	BAL37676.1			DNA polymerase III/DNA elongation factor III, tau and gamma subunits	dnaX		ECMDS42_0369	1932	643	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	401819	402148	+					ybaB		ECMDS42_0370	330		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	401819	402148	+	BAL37677.1			conserved protein	ybaB		ECMDS42_0370	330	109	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	402148	402753	+					recR		ECMDS42_0371	606		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	402148	402753	+	BAL37678.1			gap repair protein	recR		ECMDS42_0371	606	201	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	402863	404737	+					htpG		ECMDS42_0372	1875		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	402863	404737	+	BAL37679.1			molecular chaperone HSP90 family	htpG		ECMDS42_0372	1875	624	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	404918	405562	+					adk		ECMDS42_0373	645		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	404918	405562	+	BAL37680.1			adenylate kinase	adk		ECMDS42_0373	645	214	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	405798	406760	+					hemH		ECMDS42_0374	963		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	405798	406760	+	BAL37681.1			ferrochelatase	hemH		ECMDS42_0374	963	320	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	406757	407716	-					aes		ECMDS42_0375	960		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	406757	407716	-	BAL37682.1			acetyl esterase	aes		ECMDS42_0375	960	319	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	407868	409172	+					gsk		ECMDS42_0376	1305		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	407868	409172	+	BAL37683.1			inosine/guanosine kinase	gsk		ECMDS42_0376	1305	434	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	409305	410981	-					ybaL		ECMDS42_0377	1677		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	409305	410981	-	BAL37684.1			predicted transporter with NAD(P)-binding Rossmann-fold domain	ybaL		ECMDS42_0377	1677	558	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	411219	412439	-					fsr		ECMDS42_0378	1221		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	411219	412439	-	BAL37685.1			predicted fosmidomycin efflux system	fsr		ECMDS42_0378	1221	406	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	412657	414309	+					ushA		ECMDS42_0379	1653		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	412657	414309	+	BAL37686.1			bifunctional UDP-sugar hydrolase/5'-nucleotidase	ushA		ECMDS42_0379	1653	550	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	414346	414825	-					ybaK		ECMDS42_0380	480		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	414346	414825	-	BAL37687.1			conserved protein	ybaK		ECMDS42_0380	480	159	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	415029	415823	-					ybaP		ECMDS42_0381	795		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	415029	415823	-	BAL37688.1			conserved protein	ybaP		ECMDS42_0381	795	264	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	415961	416302	+					ybaQ		ECMDS42_0382	342		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	415961	416302	+	BAL37689.1			predicted DNA-binding transcriptional regulator	ybaQ		ECMDS42_0382	342	113	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	416618	419122	-					copA		ECMDS42_0383	2505		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	416618	419122	-	BAL37690.1			copper transporter	copA		ECMDS42_0383	2505	834	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	419384	420316	+					ybaS		ECMDS42_0384	933		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	419384	420316	+	BAL37691.1			predicted glutaminase	ybaS		ECMDS42_0384	933	310	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	420319	421611	+					ybaT		ECMDS42_0385	1293		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	420319	421611	+	BAL37692.1			predicted transporter	ybaT		ECMDS42_0385	1293	430	
gene	protein_coding	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	421736	422143	+					cueR		ECMDS42_0386	408		
CDS	with_protein	GCA_000350185.1	Primary Assembly	chromosome		AP012306.1	421736	422143	+	BAL37693.1			DNA-binding transcriptional activator	cueR		ECMDS42_0386	408	135	
